timestamp,electricity_kwh,building_id,building_type,area_m2
2026-01-01 12:00,135.00,DEMO-001,Classroom,5000
2026-01-02 12:00,135.85,DEMO-001,Classroom,5000
2026-01-03 12:00,136.69,DEMO-001,Classroom,5000
2026-01-04 12:00,137.49,DEMO-001,Classroom,5000
2026-01-05 12:00,138.25,DEMO-001,Classroom,5000
2026-01-06 12:00,123.93,DEMO-001,Classroom,5000
2026-01-07 12:00,124.54,DEMO-001,Classroom,5000
2026-01-08 12:00,140.05,DEMO-001,Classroom,5000
2026-01-09 12:00,140.46,DEMO-001,Classroom,5000
2026-01-10 12:00,140.76,DEMO-001,Classroom,5000
2026-01-11 12:00,140.94,DEMO-001,Classroom,5000
2026-01-12 12:00,141.00,DEMO-001,Classroom,5000
2026-01-13 12:00,125.94,DEMO-001,Classroom,5000
2026-01-14 12:00,125.76,DEMO-001,Classroom,5000
2026-01-15 12:00,140.46,DEMO-001,Classroom,5000
2026-01-16 12:00,140.04,DEMO-001,Classroom,5000
2026-01-17 12:00,139.53,DEMO-001,Classroom,5000
2026-01-18 12:00,138.92,DEMO-001,Classroom,5000
2026-01-19 12:00,138.24,DEMO-001,Classroom,5000
2026-01-20 12:00,122.49,DEMO-001,Classroom,5000
2026-01-21 12:00,121.68,DEMO-001,Classroom,5000
2026-01-22 12:00,135.85,DEMO-001,Classroom,5000
2026-01-23 12:00,134.99,DEMO-001,Classroom,5000
2026-01-24 12:00,134.14,DEMO-001,Classroom,5000
2026-01-25 12:00,133.30,DEMO-001,Classroom,5000
2026-01-26 12:00,132.50,DEMO-001,Classroom,5000
2026-01-27 12:00,116.75,DEMO-001,Classroom,5000
2026-01-28 12:00,116.06,DEMO-001,Classroom,5000
2026-01-29 12:00,130.46,DEMO-001,Classroom,5000
2026-01-30 12:00,129.95,DEMO-001,Classroom,5000
2026-01-31 12:00,129.54,DEMO-001,Classroom,5000
2026-02-01 12:00,129.24,DEMO-001,Classroom,5000
2026-02-02 12:00,129.06,DEMO-001,Classroom,5000
2026-02-03 12:00,114.00,DEMO-001,Classroom,5000
2026-02-04 12:00,114.06,DEMO-001,Classroom,5000
2026-02-05 12:00,129.25,DEMO-001,Classroom,5000
2026-02-06 12:00,129.55,DEMO-001,Classroom,5000
2026-02-07 12:00,129.96,DEMO-001,Classroom,5000
2026-02-08 12:00,130.47,DEMO-001,Classroom,5000
2026-02-09 12:00,131.08,DEMO-001,Classroom,5000
2026-02-10 12:00,116.77,DEMO-001,Classroom,5000
2026-02-11 12:00,117.52,DEMO-001,Classroom,5000
2026-02-12 12:00,206.65,DEMO-001,Classroom,5000
2026-02-13 12:00,207.95,DEMO-001,Classroom,5000
2026-02-14 12:00,209.27,DEMO-001,Classroom,5000
2026-02-15 12:00,135.87,DEMO-001,Classroom,5000
2026-02-16 12:00,136.71,DEMO-001,Classroom,5000
2026-02-17 12:00,122.51,DEMO-001,Classroom,5000
2026-02-18 12:00,123.26,DEMO-001,Classroom,5000
2026-02-19 12:00,138.94,DEMO-001,Classroom,5000
2026-02-20 12:00,139.55,DEMO-001,Classroom,5000
2026-02-21 12:00,140.06,DEMO-001,Classroom,5000
2026-02-22 12:00,140.47,DEMO-001,Classroom,5000
2026-02-23 12:00,140.76,DEMO-001,Classroom,5000
2026-02-24 12:00,125.94,DEMO-001,Classroom,5000
2026-02-25 12:00,126.00,DEMO-001,Classroom,5000
2026-02-26 12:00,140.94,DEMO-001,Classroom,5000
2026-02-27 12:00,140.75,DEMO-001,Classroom,5000
2026-02-28 12:00,140.45,DEMO-001,Classroom,5000
2026-03-01 12:00,140.04,DEMO-001,Classroom,5000
2026-03-02 12:00,139.52,DEMO-001,Classroom,5000
2026-03-03 12:00,123.91,DEMO-001,Classroom,5000
2026-03-04 12:00,123.23,DEMO-001,Classroom,5000
2026-03-05 12:00,137.47,DEMO-001,Classroom,5000
2026-03-06 12:00,136.67,DEMO-001,Classroom,5000
2026-03-07 12:00,135.83,DEMO-001,Classroom,5000
2026-03-08 12:00,134.98,DEMO-001,Classroom,5000
2026-03-09 12:00,134.12,DEMO-001,Classroom,5000
2026-03-10 12:00,118.29,DEMO-001,Classroom,5000
2026-03-11 12:00,117.49,DEMO-001,Classroom,5000
2026-03-12 12:00,204.19,DEMO-001,Classroom,5000
2026-03-13 12:00,203.13,DEMO-001,Classroom,5000
2026-03-14 12:00,130.45,DEMO-001,Classroom,5000
2026-03-15 12:00,129.94,DEMO-001,Classroom,5000
2026-03-16 12:00,129.53,DEMO-001,Classroom,5000
2026-03-17 12:00,114.24,DEMO-001,Classroom,5000
2026-03-18 12:00,114.06,DEMO-001,Classroom,5000
2026-03-19 12:00,129.00,DEMO-001,Classroom,5000
2026-03-20 12:00,129.06,DEMO-001,Classroom,5000
2026-03-21 12:00,129.25,DEMO-001,Classroom,5000
2026-03-22 12:00,129.55,DEMO-001,Classroom,5000
2026-03-23 12:00,129.97,DEMO-001,Classroom,5000
2026-03-24 12:00,115.48,DEMO-001,Classroom,5000
2026-03-25 12:00,116.09,DEMO-001,Classroom,5000
2026-03-26 12:00,131.78,DEMO-001,Classroom,5000
2026-03-27 12:00,132.53,DEMO-001,Classroom,5000
2026-03-28 12:00,133.34,DEMO-001,Classroom,5000
2026-03-29 12:00,134.18,DEMO-001,Classroom,5000
2026-03-30 12:00,135.03,DEMO-001,Classroom,5000
2026-03-31 12:00,120.88,DEMO-001,Classroom,5000
